ra,dec,r,name,ra_hms,dec_dms,ra_deg,dec_deg,z,imag,comment
245.477721093497,34.0930468521176,15.9863,J162151.74+340559.0,8/25/2017 4:21:51 PM,+34:05:59.0,245.4656,34.09972,1.803,16.83,N-rich_QSO
245.447693708461,34.0978567021768,13.26352,J162151.74+340559.0,8/25/2017 4:21:51 PM,+34:05:59.0,245.4656,34.09972,1.803,16.83,N-rich_QSO
245.448764946276,34.1117849894336,14.20404,J162151.74+340559.0,8/25/2017 4:21:51 PM,+34:05:59.0,245.4656,34.09972,1.803,16.83,N-rich_QSO
245.455303515106,34.1189094513718,16.65874,J162151.74+340559.0,8/25/2017 4:21:51 PM,+34:05:59.0,245.4656,34.09972,1.803,16.83,N-rich_QSO
226.098012229767,-1.83468769393676,13.09131,J150418.76-015039.7,8/25/2017 3:04:18 PM,-01:50:39.7,226.0782,-1.844361,1.84,17.79,N-rich_QSO
226.092513614495,-1.85119261189167,16.40352,J150418.76-015039.7,8/25/2017 3:04:18 PM,-01:50:39.7,226.0782,-1.844361,1.84,17.79,N-rich_QSO
226.087135810513,-1.85551316717638,15.01059,J150418.76-015039.7,8/25/2017 3:04:18 PM,-01:50:39.7,226.0782,-1.844361,1.84,17.79,N-rich_QSO
236.699646312141,31.2911531867645,15.03916,J154644.24+311711.3,8/25/2017 3:46:44 PM,+31:17:11.3,236.6843,31.28647,2.122,19.16,N-rich_QSO
225.014607752848,-1.64349273158093,16.95324,J145958.75-013742.4,8/25/2017 2:59:58 PM,-01:37:42.4,224.9948,-1.628444,1.738,18.84,N-rich_QSO
224.997618514333,-1.6090664188307,14.5925,J145958.75-013742.4,8/25/2017 2:59:58 PM,-01:37:42.4,224.9948,-1.628444,1.738,18.84,N-rich_QSO
224.992977370942,-1.62024066126408,14.37007,J145958.75-013742.4,8/25/2017 2:59:58 PM,-01:37:42.4,224.9948,-1.628444,1.738,18.84,N-rich_QSO
224.985919689315,-1.64142063155058,15.97271,J145958.75-013742.4,8/25/2017 2:59:58 PM,-01:37:42.4,224.9948,-1.628444,1.738,18.84,N-rich_QSO
224.977051297767,-1.63177901457635,16.78193,J145958.75-013742.4,8/25/2017 2:59:58 PM,-01:37:42.4,224.9948,-1.628444,1.738,18.84,N-rich_QSO
224.579726451925,0.635304248349934,-9999,J145815.22+003908.7,8/25/2017 2:58:15 PM,+00:39:08.7,224.5634,0.6524166,2.022,18.88,N-rich_QSO
224.570425118167,0.634808510085871,-9999,J145815.22+003908.7,8/25/2017 2:58:15 PM,+00:39:08.7,224.5634,0.6524166,2.022,18.88,N-rich_QSO
224.559928625143,-0.684496922941896,16.38207,J145817.52-004115.7,8/25/2017 2:58:17 PM,-00:41:15.7,224.573,-0.6876944,2.618,18.69,N-rich_QSO
224.556721685994,0.634896998535765,-9999,J145815.22+003908.7,8/25/2017 2:58:15 PM,+00:39:08.7,224.5634,0.6524166,2.022,18.88,N-rich_QSO
224.547027642425,0.634712536204762,-9999,J145815.22+003908.7,8/25/2017 2:58:15 PM,+00:39:08.7,224.5634,0.6524166,2.022,18.88,N-rich_QSO
242.827546868317,39.579023551845,15.61332,J161118.02+393350.9,8/25/2017 4:11:18 PM,+39:33:50.9,242.8251,39.56414,1.724,17.82,N-rich_QSO
247.331800400891,46.3684830557753,16.80294,J162923.06+462311.2,8/25/2017 4:29:23 PM,+46:23:11.2,247.3461,46.38644,1.718,18.95,N-rich_QSO
247.327481749988,46.3901507382191,13.31712,J162923.06+462311.2,8/25/2017 4:29:23 PM,+46:23:11.2,247.3461,46.38644,1.718,18.95,N-rich_QSO
217.451280767151,11.7083382044118,16.687,J142947.70+114316.7,8/25/2017 2:29:47 PM,+11:43:16.7,217.4487,11.72131,2.408,18.91,N-rich_QSO
245.251918155856,49.3301781026666,14.41761,J162102.73+491921.5,8/25/2017 4:21:02 PM,+49:19:21.5,245.2614,49.32264,3.143,19.32,N-rich_QSO
228.976128936837,38.589521229856,14.34358,J151557.86+383604.3,8/25/2017 3:15:57 PM,+38:36:04.3,228.9911,38.6012,1.71,18.24,N-rich_QSO
228.987060738152,38.6061416731078,15.95242,J151557.86+383604.3,8/25/2017 3:15:57 PM,+38:36:04.3,228.9911,38.6012,1.71,18.24,N-rich_QSO
228.982142503346,38.6013846571409,16.28238,J151557.86+383604.3,8/25/2017 3:15:57 PM,+38:36:04.3,228.9911,38.6012,1.71,18.24,N-rich_QSO
225.574752318796,35.9263154389235,15.19807,J150217.11+355459.0,8/25/2017 3:02:17 PM,+35:54:59.0,225.5713,35.91639,3.35,18.67,N-rich_QSO
224.953195885234,37.4807344935948,16.3291,J145953.20+372822.4,8/25/2017 2:59:53 PM,+37:28:22.4,224.9717,37.47289,2.801,19.47,N-rich_QSO
214.030231882924,-0.604726969030632,15.94826,J141608.47-003712.3,8/25/2017 2:16:08 PM,-00:37:12.3,214.0353,-0.6200833,1.918,18.88,N-rich_QSO
214.026354589892,-0.631642245775084,15.26357,J141608.47-003712.3,8/25/2017 2:16:08 PM,-00:37:12.3,214.0353,-0.6200833,1.918,18.88,N-rich_QSO
242.429461145365,52.4353384208561,15.70207,J160943.35+522550.8,8/25/2017 4:09:43 PM,+52:25:50.8,242.4306,52.43078,2.703,18.58,N-rich_QSO
242.423522588177,52.4473768999303,16.02556,J160943.35+522550.8,8/25/2017 4:09:43 PM,+52:25:50.8,242.4306,52.43078,2.703,18.58,N-rich_QSO
217.327376939712,34.6491259434191,16.68057,J142915.19+343820.3,8/25/2017 2:29:15 PM,+34:38:20.3,217.3133,34.63897,2.351,18.53,N-rich_QSO
231.485565951578,51.6173918203085,15.72389,J152553.89+513649.1,8/25/2017 3:25:53 PM,+51:36:49.1,231.4745,51.61364,2.882,16.54,N-rich_QSO
231.474569259784,51.6136579002474,16.84979,J152553.89+513649.1,8/25/2017 3:25:53 PM,+51:36:49.1,231.4745,51.61364,2.882,16.54,N-rich_QSO
231.45591854293,51.6262918237187,15.8638,J152553.89+513649.1,8/25/2017 3:25:53 PM,+51:36:49.1,231.4745,51.61364,2.882,16.54,N-rich_QSO
222.012305580828,44.151070964839,16.95139,J144805.84+440806.4,8/25/2017 2:48:05 PM,+44:08:06.4,222.0243,44.13511,3.284,19.74,N-rich_QSO
223.441749373018,48.4794223512425,12.17827,J145349.70+482740.3,8/25/2017 2:53:49 PM,+48:27:40.3,223.4571,48.46119,1.72,18.81,N-rich_QSO
218.477189723689,45.2805879758282,15.76837,J143352.38+451612.7,8/25/2017 2:33:52 PM,+45:16:12.7,218.4682,45.2702,1.76,18.96,N-rich_QSO
232.858045030863,56.8037300220516,13.83933,J153122.56+564710.3,8/25/2017 3:31:22 PM,+56:47:10.3,232.844,56.78619,2.044,19.37,N-rich_QSO
259.309564736752,64.0435214040348,14.52853,J171712.87+640344.7,8/25/2017 5:17:12 PM,+64:03:44.7,259.3036,64.06242,2.103,18.59,N-rich_QSO
256.771317376123,64.705810034811,15.29262,J170704.87+644303.2,8/25/2017 5:07:04 PM,+64:43:03.2,256.7703,64.71755,3.163,18.33,N-rich_QSO
256.770115046463,64.7145472662464,16.033,J170704.87+644303.2,8/25/2017 5:07:04 PM,+64:43:03.2,256.7703,64.71755,3.163,18.33,N-rich_QSO
